0,16772,6965,20278,7823,17279,7729,10440,1,44,16266,5299,7625,13850,1,63,16924,7504,16803,6801,18798,0
14147,0,8612,6515,10032,4188,8021,5457,14147,14192,3175,12852,8874,1135,14147,14084,3833,9182,3712,8946,6674,14147
7761,10374,0,16093,3646,11851,1663,4553,7761,7806,10838,6466,1498,8422,7761,7698,11496,538,11375,1064,13370,7761
20224,6149,14689,0,16109,3133,14098,11534,20224,20269,4872,18929,15847,7286,20224,20161,2918,13451,3043,15023,1790,20224
7484,12318,2511,15824,0,12825,3275,5986,7484,7529,11812,6189,3171,9396,7484,7421,12470,3050,12349,2347,14344,7484
17161,3013,11626,3409,13046,0,11035,8471,17161,17206,1736,15866,11888,4149,17161,17098,851,12196,976,11960,1937,17161
6622,11319,1585,14825,2507,11826,0,4987,6622,6667,10813,5327,2245,8397,6622,6559,11471,2124,11350,1421,13345,6622
10171,6791,4721,10297,6056,7298,4130,0,10171,10216,6285,8876,4983,3869,10171,10108,6943,5291,6822,4970,8817,10171
1,16772,6965,20278,7823,17279,7729,10440,0,44,16266,5299,7625,13850,1,63,16924,7504,16803,6801,18798,1
44,16816,7009,20322,7867,17323,7773,10484,1,0,16310,5343,7669,13894,38,107,16968,7548,16847,6845,18842,44
17022,2874,11487,4004,12907,1013,10896,8332,17022,17067,0,15727,11749,4010,17022,16959,658,12057,537,11821,2532,17022
1294,16651,6844,20157,7702,17158,7608,10319,1294,1339,16145,0,7504,13729,1294,1231,16803,7383,16682,6680,18677,1294
6263,11089,1367,14595,2148,11596,2131,5297,6263,6308,10583,4968,0,8167,6263,6200,11241,1906,11120,1203,13115,6263
13010,5121,7475,8358,8895,5628,6884,4320,13010,13055,4615,11715,7737,0,13010,12947,5273,8045,5152,7809,7147,13010
1,16772,6965,20278,7823,17279,7729,10440,1,44,16266,5299,7625,13850,0,63,16924,7504,16803,6801,18798,1
62,16708,6901,20214,7759,17215,7665,10376,62,107,16202,5235,7561,13786,62,0,16860,7440,16739,6737,18734,62
16985,2837,11450,3346,12870,1003,10859,8295,16985,17030,1269,15690,11712,3973,16985,16922,0,12020,145,11784,2326,16985
7222,10809,990,15554,3107,12555,2189,5079,7222,7267,11542,5927,959,9126,7222,7159,12200,0,12079,1297,14074,7222
16864,2716,11329,3471,12749,1128,10738,8174,16864,16909,1148,15569,11591,3852,16864,16801,145,11899,0,11663,2451,16864
7086,10664,845,15418,2971,12419,2044,4934,7086,7131,11406,5791,823,8990,7086,7023,12064,2474,11943,0,13938,7086
18506,4358,12428,2237,14391,1729,12380,9816,18506,18551,3081,17211,12620,5494,18506,18443,2189,11660,2314,13305,0,18506
0,16772,6965,20278,7823,17279,7729,10440,1,44,16266,5299,7625,13850,1,63,16924,7504,16803,6801,18798,0
